carrington_rotation,longitude_index,carrington_longitude_degree,latitude_index,sine_latitude,latitude_degree,field_microtesla
2149,2,15,29,0.96666666666666667,75.164888418024262,25.698
2149,3,20,0,-0.96666666666666667,-75.164888418024262,-8.8650000000000002
2149,3,20,1,-0.90000000000000002,-64.158067236832878,-10.832000000000001
2149,3,20,2,-0.83333333333333337,-56.442690238079287,-14.988
2149,3,20,3,-0.76666666666666672,-50.055494810185124,-17.634
2149,3,20,4,-0.69999999999999996,-44.427004000805702,-14.359999999999999
2149,3,20,5,-0.6333333333333333,-39.296480239187503,-6.9390000000000001
2149,3,20,6,-0.56666666666666665,-34.518107841061259,17.736000000000001
2149,3,20,7,-0.5,-29.999999999999996,61.936999999999998
2149,3,20,8,-0.43333333333333335,-25.679288619456855,91.572000000000003
2149,3,20,9,-0.36666666666666664,-21.510188266887482,120.73
2149,3,20,10,-0.29999999999999999,-17.457603123722091,180.32900000000001
2149,3,20,11,-0.23333333333333334,-13.49339882155169,207.00200000000001
2149,3,20,12,-0.16666666666666666,-9.5940682268604611,312.48599999999999
2149,3,20,13,-0.10000000000000001,-5.7391704772667866,597.91399999999999
2149,3,20,14,-0.033333333333333333,-1.9102131717099304,629.029
2149,3,20,15,0.033333333333333333,1.9102131717099304,459.73000000000002
2149,3,20,16,0.10000000000000001,5.7391704772667866,402.19999999999999
2149,3,20,17,0.16666666666666666,9.5940682268604611,345.00200000000001
2149,3,20,18,0.23333333333333334,13.49339882155169,140.28700000000001
2149,3,20,19,0.29999999999999999,17.457603123722091,-8.9559999999999995
2149,3,20,20,0.36666666666666664,21.510188266887482,-30.594000000000001
2149,3,20,21,0.43333333333333335,25.679288619456855,34.411999999999999
2149,3,20,22,0.5,29.999999999999996,72.631
2149,3,20,23,0.56666666666666665,34.518107841061259,68.167000000000002
2149,3,20,24,0.6333333333333333,39.296480239187503,25.800999999999998
2149,3,20,25,0.69999999999999996,44.427004000805702,5.0209999999999999
2149,3,20,26,0.76666666666666672,50.055494810185124,5.9800000000000004
2149,3,20,27,0.83333333333333337,56.442690238079287,11.968
2149,3,20,28,0.90000000000000002,64.158067236832878,16.109000000000002
2149,3,20,29,0.96666666666666667,75.164888418024262,19.960000000000001
2149,4,25,0,-0.96666666666666667,-75.164888418024262,-11.656000000000001
2149,4,25,1,-0.90000000000000002,-64.158067236832878,-14.563000000000001
2149,4,25,2,-0.83333333333333337,-56.442690238079287,-18.189
2149,4,25,3,-0.76666666666666672,-50.055494810185124,-20.327999999999999
2149,4,25,4,-0.69999999999999996,-44.427004000805702,-25.469999999999999
2149,4,25,5,-0.6333333333333333,-39.296480239187503,-27.57
2149,4,25,6,-0.56666666666666665,-34.518107841061259,-8.5960000000000001
2149,4,25,7,-0.5,-29.999999999999996,27.609999999999999
2149,4,25,8,-0.43333333333333335,-25.679288619456855,59.938000000000002
2149,4,25,9,-0.36666666666666664,-21.510188266887482,48.500999999999998
2149,4,25,10,-0.29999999999999999,-17.457603123722091,-49.622
2149,4,25,11,-0.23333333333333334,-13.49339882155169,-55.883000000000003
2149,4,25,12,-0.16666666666666666,-9.5940682268604611,115.639
2149,4,25,13,-0.10000000000000001,-5.7391704772667866,210.44300000000001
2149,4,25,14,-0.033333333333333333,-1.9102131717099304,258.072
2149,4,25,15,0.033333333333333333,1.9102131717099304,403.99000000000001
2149,4,25,16,0.10000000000000001,5.7391704772667866,470.661
2149,4,25,17,0.16666666666666666,9.5940682268604611,428.01400000000001
2149,4,25,18,0.23333333333333334,13.49339882155169,289.48599999999999
2149,4,25,19,0.29999999999999999,17.457603123722091,174.345
2149,4,25,20,0.36666666666666664,21.510188266887482,126.07899999999999
2149,4,25,21,0.43333333333333335,25.679288619456855,92.545000000000002
2149,4,25,22,0.5,29.999999999999996,68.122
2149,4,25,23,0.56666666666666665,34.518107841061259,53.395000000000003
2149,4,25,24,0.6333333333333333,39.296480239187503,21.977
2149,4,25,25,0.69999999999999996,44.427004000805702,3.0110000000000001
2149,4,25,26,0.76666666666666672,50.055494810185124,5.1230000000000002
2149,4,25,27,0.83333333333333337,56.442690238079287,11.425000000000001
2149,4,25,28,0.90000000000000002,64.158067236832878,15.552
2149,4,25,29,0.96666666666666667,75.164888418024262,20.655999999999999
2149,5,30,0,-0.96666666666666667,-75.164888418024262,-16.919
2149,5,30,1,-0.90000000000000002,-64.158067236832878,-17.334
2149,5,30,2,-0.83333333333333337,-56.442690238079287,-18.863
2149,5,30,3,-0.76666666666666672,-50.055494810185124,-24.279
2149,5,30,4,-0.69999999999999996,-44.427004000805702,-37.259999999999998
2149,5,30,5,-0.6333333333333333,-39.296480239187503,-46.131
2149,5,30,6,-0.56666666666666665,-34.518107841061259,-32.012
2149,5,30,7,-0.5,-29.999999999999996,-11.069000000000001
2149,5,30,8,-0.43333333333333335,-25.679288619456855,26.402000000000001
2149,5,30,9,-0.36666666666666664,-21.510188266887482,154.785
2149,5,30,10,-0.29999999999999999,-17.457603123722091,338.18299999999999
2149,5,30,11,-0.23333333333333334,-13.49339882155169,395.44499999999999
2149,5,30,12,-0.16666666666666666,-9.5940682268604611,313.91399999999999
2149,5,30,13,-0.10000000000000001,-5.7391704772667866,138.86099999999999
2149,5,30,14,-0.033333333333333333,-1.9102131717099304,120.61499999999999
2149,5,30,15,0.033333333333333333,1.9102131717099304,216.24000000000001
2149,5,30,16,0.10000000000000001,5.7391704772667866,267.98200000000003
2149,5,30,17,0.16666666666666666,9.5940682268604611,227.13399999999999
2149,5,30,18,0.23333333333333334,13.49339882155169,134.27500000000001
2149,5,30,19,0.29999999999999999,17.457603123722091,61.237000000000002
2149,5,30,20,0.36666666666666664,21.510188266887482,31.314
2149,5,30,21,0.43333333333333335,25.679288619456855,4.75
